Year,Host,Venue,Winner,Winner_Runs,Runner_Up,Runner_Runs,Teams
1975,England,Lord's London,West Indies,291,Australia,274,8
1979,England,Lord's London,West Indies,286,England,194,8
1983,England & Wales,Lord's London,India,183,West Indies,140,8
1987,India & Pakistan,Eden Gardens Kolkata,Australia,253,England,246,8
1992,Australia & New Zealand,Melbourne Cricket Ground,Pakistan,249,England,227,9
1996,India Pakistan Sri Lanka,Gaddafi Stadium Lahore,Sri Lanka,245,Australia,241,12
1999,England,Lord's London,Australia,133,Pakistan,132,12
2003,South Africa Zimbabwe Kenya,The Wanderers Johannesburg,Australia,359,India,234,14
2007,West Indies,Kensington Oval Barbados,Australia,281,Sri Lanka,215,16
2011,India Bangladesh Sri Lanka,Wankhede Stadium Mumbai,India,277,Sri Lanka,274,14
2015,Australia & New Zealand,Melbourne Cricket Ground,Australia,186,New Zealand,183,14
2019,England,Lord's London,England,241,New Zealand,241,10
2023,India,Narendra Modi Stadium Ahmedabad,Australia,241,India,240,10